code,description,unit,price,category
635,Hamilton Beach 12-Cup Programmable Coffee Maker,unit,19.99,Appliances
448,Royal Canin Small Puppy Dry Dog Food,13-lb bag,44.63,pet supplies
314,WOMEN'S HOKA ONE ONE CLIFTON 7,1 pair,119.87,Sports & Outdoors
213,GU ENERGY GEL 24 PACK,24-units box,29.85,Sports & Outdoors
672,Low-Odor Dry Erase Markers,8-units pack,14.55,office suplies
631,R-Gear Drymax Light Cushion Crew 3 Pack Socks,3-pairs,26.99,Sports & Outdoors
105,Cuisinart® Compact 4-Slice Toaster,unit,49.99,appliance
880,YAMAHA FD01S Solid Top Acoustic Guitar,unit,149.99,musical instruments
883,JYsun Classical Guitar Strings,3 full set,12.99,music
591,Duck HD Clear Heavy Duty Packing Tape Refill,6-units pack,111,office
